"","entidad","anio","acceso_electrd","acceso_combust_limpios","cap_instald_energ_renov","finan_paises_desarr","energ_renov","electrd_fosiles","electrd_nuclear","electrd_de_energ_renov","electrd_de_f_bajas_carb","consumo_energ_prim","nivel_intens_energ_prim","emisiones_CO2","renovables","crecimiento_PIB","PIB_per_cap","densidad_pobl_Km2","superficie","latitud","longitud"
"295","Brazil",2000,94.391716,89,364.68,126500000,42.66,28.87,4.94,308.77,91.57278,13400.32,3.88,313670,43.288433,4.387949444,3749.910848,25,8515770,-14.235004,-51.92528
"296","Brazil",2001,96.016525,89.7,367.36,5290000,41.33,35.19,14.27,273.71,89.111,12893.828,3.9,319380,39.11162,1.389896404,3160.249345,25,8515770,-14.235004,-51.92528
"297","Brazil",2002,96.65299,90.1,374.1,33350000,42.85,33.5,13.84,292.95,90.15546,13021.791,3.89,317760.0098,40.756653,3.053461857,2839.491501,25,8515770,-14.235004,-51.92528
"298","Brazil",2003,96.980095,90.6,387.32,7530000,45.11,31.62,13.4,313.88,91.18975,13111.923,3.91,310809.9976,42.284126,1.140828999,3070.436419,25,8515770,-14.235004,-51.92528
"299","Brazil",2004,96.76511,91.1,392.57,1140000,45.18,40.14,11.6,329.43,89.46926,13593.7,3.9,328519.989,42.286156,5.759964637,3637.31389,25,8515770,-14.235004,-51.92528
"300","Brazil",2005,97.09351,91.6,399.88,11720000,46.13,39.56,9.2,346.96,90.00303,13792.465,3.88,331690.0024,43.1457,3.202132062,4790.456566,25,8515770,-14.235004,-51.92528
"301","Brazil",2006,97.594315,92.1,412.49,1220000,46.67,39.4,12.98,359.55,90.43527,14020.683,3.86,335619.9951,43.045963,3.961988709,5886.391522,25,8515770,-14.235004,-51.92528
"302","Brazil",2007,98.12538,92.6,427.18,910000,47.19,37.64,11.65,387.88,91.390076,14770.351,3.84,352559.9976,44.380226,6.069870607,7348.187963,25,8515770,-14.235004,-51.92528
"303","Brazil",2008,98.52663,93.1,432.21,19530000,47.04,55.87,13.21,385.61,87.71251,15255.087,3.86,373630.0049,43.366776,5.094195448,8831.183643,25,8515770,-14.235004,-51.92528
"304","Brazil",2009,98.85694,93.6,438.04,174490000,48.92,36.32,12.22,410.13,92.08145,15004.24,3.74,350000,46.30883,-0.125812003,8597.794335,25,8515770,-14.235004,-51.92528
"305","Brazil",2010,98.6,94,457.6,135380000,46.81,61.02,13.77,435.99,88.053566,16220.931,3.85,397929.9927,44.246536,7.528225818,11286.07154,25,8515770,-14.235004,-51.92528
"306","Brazil",2011,99.32869,94.3,470.43,187660000,45.26,50.27,14.8,462.32,90.468155,16629.84,3.75,418309.9976,43.91006,3.974423079,13245.38737,25,8515770,-14.235004,-51.92528
"307","Brazil",2012,99.51949,94.7,482.3,228480000,43.49,77.21,15.17,454.78,85.88896,16963.494,3.82,454230.011,42.06637,1.921175985,12370.22325,25,8515770,-14.235004,-51.92528
"308","Brazil",2013,99.57515,95,496.6,93260000,42.32,112,14.65,436.84,80.12387,17221.44,3.88,486839.9963,39.836597,3.00482267,12300.38671,25,8515770,-14.235004,-51.92528
"309","Brazil",2014,99.650246,95.2,524.97,489030000,41.71,136.58,14.46,430.82,76.527,17519.043,3.98,511619.9951,38.852745,0.50395574,12112.83496,25,8515770,-14.235004,-51.92528
"310","Brazil",2015,99.7109,95.4,550.89,2300000,43.62,128.85,13.91,428.81,77.456825,17140.15,4.05,485339.9963,40.603523,-3.545763393,8813.989806,25,8515770,-14.235004,-51.92528
"311","Brazil",2016,99.7,95.7,588.73,161960000,45.46,93.06,14.97,463.37,83.713684,16591.764,4.03,447079.9866,43.5387,-3.275916906,8710.06329,25,8515770,-14.235004,-51.92528
"312","Brazil",2017,99.8,95.7,617.89,521620000,45.33,101.9,14.86,464.4,82.4661,16608.686,4.05,456489.9902,43.280678,1.322869054,9928.675897,25,8515770,-14.235004,-51.92528
"313","Brazil",2018,99.7,95.8,652.03,256430000,46.95,86.69,14.79,492.66,85.409164,16539.11,3.93,433989.9902,46.080498,1.783666761,9151.381732,25,8515770,-14.235004,-51.92528
"314","Brazil",2019,99.8,95.8,684.92,50980000,47.57,90.91,15.16,512.59,85.30534,16681.945,3.93,434299.9878,47.304844,1.411152985,8897.552966,25,8515770,-14.235004,-51.92528
"315","Brazil",2020,100,95.9,705.9,NA,NA,81.15,13.21,520.01,86.79134,15921.327,NA,NA,49.47188,-4.059048273,6796.844542,25,8515770,-14.235004,-51.92528
"463","Chile",2000,97.93869,100,290.18,460000,31.36,20.42,NA,18.48,47.506424,20023.135,4.39,50420,19.573402,5.326938419,5074.902616,26,756096,-35.675147,-71.542969
"464","Chile",2001,97.11581,100,286.86,150000,32.15,19.59,NA,21.03,51.772526,20184.58,4.17,48430,22.04736,3.303047313,4574.594716,26,756096,-35.675147,-71.542969
"465","Chile",2002,97.28368,100,285.57,30000,33.07,19.87,NA,22.5,53.10361,20441.285,4.19,49119.99893,22.61727,3.106970532,4446.249371,26,756096,-35.675147,-71.542969
"466","Chile",2003,98.782326,100,283.29,70000,31.62,23.3,NA,21.84,48.38281,20334.662,4.07,50200.00076,22.010809,4.091047685,4772.563723,26,756096,-35.675147,-71.542969
"467","Chile",2004,97.60609,100,327.57,2790000,31.44,27.79,NA,20.87,42.88944,21494.553,4.04,54970.00122,19.768446,7.209539709,6194.85272,26,756096,-35.675147,-71.542969
"468","Chile",2005,97.76531,100,325.16,50460000,32.26,25.2,NA,25.42,50.217308,22090.879,3.94,55970.00122,22.415243,5.742830489,7598.528877,26,756096,-35.675147,-71.542969
"469","Chile",2006,99.36811,100,322.11,110000,32.91,25.54,NA,28.03,52.324062,22631.893,3.86,57150.00153,22.566658,6.317176343,9464.548507,26,756096,-35.675147,-71.542969
"470","Chile",2007,98.09202,100,327.89,93230000,30.46,33.69,NA,22.29,39.81779,22387.78,3.81,64569.99969,18.706137,4.905324504,10502.35071,26,756096,-35.675147,-71.542969
"471","Chile",2008,98.26487,100,331.26,65320000,30.83,32.59,NA,23.78,42.185562,22165.26,3.65,67989.99786,20.915377,3.529530553,10751.4816,26,756096,-35.675147,-71.542969
"472","Chile",2009,99.59366,100,361.58,56220000,31.53,32.12,NA,24.57,43.340977,21051.678,3.61,65449.99695,21.777431,-1.564239443,10208.90797,26,756096,-35.675147,-71.542969
"473","Chile",2010,99.53839,100,360.95,3200000,27.04,36.71,NA,21.55,36.98936,21403.44,3.56,69750,19.264341,5.844177296,12808.03834,26,756096,-35.675147,-71.542969
"474","Chile",2011,99.588196,100,388.65,68530000,28.79,41,NA,21.04,33.913605,22459.62,3.66,76470.00122,17.502325,6.110918829,14637.23344,26,756096,-35.675147,-71.542969
"475","Chile",2012,100,100,405.49,1003530000,30.31,45.17,NA,20.59,31.310825,23224.074,3.84,78410.00366,18.09596,5.318628,15351.54074,26,756096,-35.675147,-71.542969
"476","Chile",2013,99.6,100,436.94,1352650000,30.23,48,NA,20.17,29.587795,23629.986,3.82,83000,18.432415,4.045004298,15842.93648,26,756096,-35.675147,-71.542969
"477","Chile",2014,100,100,468.99,1263800000,26.95,44.51,NA,25.44,36.368835,23154.375,3.39,76559.99756,20.193163,1.766739784,14670.98891,26,756096,-35.675147,-71.542969
"478","Chile",2015,99.71484,100,470.34,113310000,25.07,44.37,NA,27.38,38.16028,23180.021,3.39,82230.00336,21.427673,2.303767036,13574.16924,26,756096,-35.675147,-71.542969
"479","Chile",2016,100,100,510.67,300130000,24.55,49.09,NA,24.27,33.083424,23993.93,3.54,86489.99786,19.706335,1.711089289,13753.59215,26,756096,-35.675147,-71.542969
"480","Chile",2017,99.7,100,557.03,209270000,24.11,44.9,NA,29.32,39.504177,24517.238,3.55,87069.99969,22.405031,1.184544707,14998.81706,26,756096,-35.675147,-71.542969
"481","Chile",2018,100,100,584.92,NA,25.46,43.85,NA,32.89,42.859005,25039.64,3.49,86610.00061,24.343296,3.713859177,15888.14436,26,756096,-35.675147,-71.542969
"482","Chile",2019,100,100,606.69,NA,25.26,45.16,NA,32.23,41.64621,24894.514,3.66,91370.00275,24.144995,0.942005307,14741.7144,26,756096,-35.675147,-71.542969
"483","Chile",2020,100,100,669.29,NA,NA,43.69,NA,34.06,43.807076,22925.926,NA,NA,26.557531,-5.771501669,13231.70421,26,756096,-35.675147,-71.542969
"988","Guyana",2000,74.51728,35.6,29.4,NA,29.75,0.82,0,0.06,6.818182,9131.178,5.78,1660,NA,-1.363803903,954.4003181,4,214969,4.860416,-58.93018
"989","Guyana",2001,75.10074,37.7,29.67,5030000,30.41,0.85,0,0.06,6.593406,8915.736,5.69,1640,NA,2.279521659,955.6653806,4,214969,4.860416,-58.93018
"990","Guyana",2002,75.67661,39.9,29.89,NA,33.73,0.85,0,0.06,6.593406,9012.365,5.78,1620.000005,NA,1.132626962,974.9491933,4,214969,4.860416,-58.93018
"991","Guyana",2003,76.24725,42.4,30.09,NA,34.1,0.77,0,0.05,6.097561,9282.544,6.06,1620.000005,NA,-0.632225388,997.2113729,4,214969,4.860416,-58.93018
"992","Guyana",2004,76.81501,45,29.61,NA,35.05,0.8,0,0.06,6.976744,9064.288,6.25,1669.999957,NA,1.56335211,1056.423886,4,214969,4.860416,-58.93018
"993","Guyana",2005,77.5,47.6,29.8,30000,34.13,0.6,0,0.05,7.692308,8189.165,5.36,1480.000019,NA,-1.950957595,1105.506825,4,214969,4.860416,-58.93018
"994","Guyana",2006,73.38259,50.3,30.01,NA,36.28,0.62,0,0.05,7.4626865,7341.6763,4.88,1330.000043,NA,5.129609348,3188.67316,4,214969,4.860416,-58.93018
"995","Guyana",2007,78.524925,53,30.21,NA,32.63,0.65,0,0.05,7.142857,9106.513,5.1,1610.000014,NA,7.191236241,3658.479967,4,214969,4.860416,-58.93018
"996","Guyana",2008,79.10577,55.8,30.46,NA,32.03,0.66,0,0.05,7.042254,8685.301,4.78,1600.000024,NA,1.606001675,4050.786237,4,214969,4.860416,-58.93018
"997","Guyana",2009,77.6,58.5,70.79,NA,31.09,0.61,0,0.11,15.277777,8978.9375,4.97,1629.999995,NA,3.876525381,4233.766143,4,214969,4.860416,-58.93018
"998","Guyana",2010,83.09163,61,70.94,1190000,30.29,0.73,0,0.13,15.116279,9713.2295,4.69,1759.99999,NA,3.778200183,4580.698762,4,214969,4.860416,-58.93018
"999","Guyana",2011,84.08454,63.7,71.91,NA,32.57,0.77,0,0.14,15.384615,10153.407,4.8,1830.000043,NA,5.339378131,4908.566448,4,214969,4.860416,-58.93018
"1000","Guyana",2012,85.06648,66.2,71.87,90000,28.41,0.81,0,0.14,14.736842,11516.412,4.36,2000,NA,5.383623469,5378.810878,4,214969,4.860416,-58.93018
"1001","Guyana",2013,86.02649,68.6,71.81,20000,26.27,0.85,0,0.14,14.141414,11227.718,3.99,1980.000019,NA,3.653504768,5489.140726,4,214969,4.860416,-58.93018
"1002","Guyana",2014,86.9,70.9,71.69,20000,24.02,0.85,0,0.15,15.000001,11144.22,4.01,2059.999943,NA,1.686027732,5407.147366,4,214969,4.860416,-58.93018
"1003","Guyana",2015,88.00384,72.8,71.97,2850000,24.95,0.88,0,0.16,15.384616,11248.948,4,2079.999924,NA,0.68752121,5576.825852,4,214969,4.860416,-58.93018
"1004","Guyana",2016,89.17036,74.7,59.81,NA,21.41,0.95,0,0.15,13.636364,12634.438,4.14,2480.000019,NA,3.807918837,5811.397924,4,214969,4.860416,-58.93018
"1005","Guyana",2017,90.295815,76.2,61.44,NA,22.18,0.99,0,0.15,13.157896,12459.088,3.95,2470.000029,NA,3.734374061,6124.95367,4,214969,4.860416,-58.93018
"1006","Guyana",2018,91.19838,77.9,65.61,30810000,16.81,1,0,0.16,13.793104,12371.177,3.86,2589.999914,NA,4.441013589,6145.819277,4,214969,4.860416,-58.93018
"1007","Guyana",2019,91.91576,79.5,67.93,14630000,11.35,1.06,0,0.16,13.114754,14184.612,3.98,2849.999905,NA,5.352627426,6609.51128,4,214969,4.860416,-58.93018
"1008","Guyana",2020,92.54054,80.6,67.6,NA,NA,1.01,0,0.15,12.931036,13816.492,NA,NA,NA,43.47955594,6955.939217,4,214969,4.860416,-58.93018
"1702","Namibia",2000,36.5,33.7,134.28,110000,34.73,0.04,0,1.37,97.163124,6971.662,3.58,1940,NA,3.492183364,2185.604115,3,824292,-22.95764,18.49041
"1703","Namibia",2001,35.96686,34,132.23,220000,30.32,0,0,1.36,100,7906.876,4.17,2460,NA,1.177948695,1950.648536,3,824292,-22.95764,18.49041
"1704","Namibia",2002,36.925476,35,130.43,30000,33.74,0,0,1.45,100,7473.249,3.67,2130.000114,NA,4.788661219,1808.884899,3,824292,-22.95764,18.49041
"1705","Namibia",2003,37.878853,35.9,128.55,30000,33.3,0.01,0,1.5,99.337746,7768.2593,3.67,2269.999981,NA,4.239794296,2621.700395,3,824292,-22.95764,18.49041
"1706","Namibia",2004,38.82934,36.4,126.63,1e+05,34.75,0,0,1.59,100,7998.0425,3.53,2380.000114,NA,12.2695481,3464.418226,3,824292,-22.95764,18.49041
"1707","Namibia",2005,39.779297,37.3,124.75,4e+05,34.54,0.04,0,1.64,97.61905,8329.664,3.71,2529.999971,NA,2.529262658,3739.531717,3,824292,-22.95764,18.49041
"1708","Namibia",2006,40.731125,37.9,122.81,220000,35.32,0.09,0,1.59,94.64286,8203.538,3.47,2529.999971,NA,7.073175318,4059.101348,3,824292,-22.95764,18.49041
"1709","Namibia",2007,43.7,38.6,120.94,10000,35.84,0.04,0,1.56,97.5,8337.066,3.41,2619.999886,NA,5.374044152,4405.410399,3,824292,-22.95764,18.49041
"1710","Namibia",2008,42.65105,39.5,119.02,46600000,32.33,0.17,0,1.48,89.69697,8670.3955,3.63,2950.000048,NA,2.649812038,4212.367197,3,824292,-22.95764,18.49041
"1711","Namibia",2009,44.1,40.1,117.18,NA,33.21,0.08,0,1.39,94.55782,8711.895,3.74,3019.999981,NA,0.295970914,4295.387143,3,824292,-22.95764,18.49041
"1712","Namibia",2010,44.610737,40.9,115.48,47200000,31.03,0.05,0,1.25,96.15385,8834.805,3.58,3130.000114,NA,6.03924948,5394.996712,3,824292,-22.95764,18.49041
"1713","Namibia",2011,42.3,41.5,114.91,50000,31.46,0.03,0,1.4,97.9021,9036.284,3.48,3329.999924,NA,5.091338139,5806.748246,3,824292,-22.95764,18.49041
"1714","Namibia",2012,46.63186,42.2,155.62,530000,31.74,0.03,0,1.6,98.15951,9158.613,3.43,3529.999971,NA,5.06168207,5942.29274,3,824292,-22.95764,18.49041
"1715","Namibia",2013,47.4,43,154.49,NA,30.55,0.06,0,1.28,95.522385,9313.876,3.4,3789.999962,NA,5.614719623,5392.094938,3,824292,-22.95764,18.49041
