"entidad","region","acceso_electrd","acceso_combust_limpios","electrd_fosiles","crecimiento_PIB","densidad_pobl_Km2"
"Brazil","Sudamerica",94.391716,89,28.87,4.387949444,25
"Brazil","Sudamerica",96.016525,89.7,35.19,1.389896404,25
"Brazil","Sudamerica",96.65299,90.1,33.5,3.053461857,25
"Brazil","Sudamerica",96.980095,90.6,31.62,1.140828999,25
"Brazil","Sudamerica",96.76511,91.1,40.14,5.759964637,25
"Brazil","Sudamerica",97.09351,91.6,39.56,3.202132062,25
"Brazil","Sudamerica",97.594315,92.1,39.4,3.961988709,25
"Brazil","Sudamerica",98.12538,92.6,37.64,6.069870607,25
"Brazil","Sudamerica",98.52663,93.1,55.87,5.094195448,25
"Brazil","Sudamerica",98.85694,93.6,36.32,-0.125812003,25
"Brazil","Sudamerica",98.6,94,61.02,7.528225818,25
"Brazil","Sudamerica",99.32869,94.3,50.27,3.974423079,25
"Brazil","Sudamerica",99.51949,94.7,77.21,1.921175985,25
"Brazil","Sudamerica",99.57515,95,112,3.00482267,25
"Brazil","Sudamerica",99.650246,95.2,136.58,0.50395574,25
"Brazil","Sudamerica",99.7109,95.4,128.85,-3.545763393,25
"Brazil","Sudamerica",99.7,95.7,93.06,-3.275916906,25
"Brazil","Sudamerica",99.8,95.7,101.9,1.322869054,25
"Brazil","Sudamerica",99.7,95.8,86.69,1.783666761,25
"Brazil","Sudamerica",99.8,95.8,90.91,1.411152985,25
"Brazil","Sudamerica",100,95.9,81.15,-4.059048273,25
"Chile","Sudamerica",97.93869,100,20.42,5.326938419,26
"Chile","Sudamerica",97.11581,100,19.59,3.303047313,26
"Chile","Sudamerica",97.28368,100,19.87,3.106970532,26
"Chile","Sudamerica",98.782326,100,23.3,4.091047685,26
"Chile","Sudamerica",97.60609,100,27.79,7.209539709,26
"Chile","Sudamerica",97.76531,100,25.2,5.742830489,26
"Chile","Sudamerica",99.36811,100,25.54,6.317176343,26
"Chile","Sudamerica",98.09202,100,33.69,4.905324504,26
"Chile","Sudamerica",98.26487,100,32.59,3.529530553,26
"Chile","Sudamerica",99.59366,100,32.12,-1.564239443,26
"Chile","Sudamerica",99.53839,100,36.71,5.844177296,26
"Chile","Sudamerica",99.588196,100,41,6.110918829,26
"Chile","Sudamerica",100,100,45.17,5.318628,26
"Chile","Sudamerica",99.6,100,48,4.045004298,26
"Chile","Sudamerica",100,100,44.51,1.766739784,26
"Chile","Sudamerica",99.71484,100,44.37,2.303767036,26
"Chile","Sudamerica",100,100,49.09,1.711089289,26
"Chile","Sudamerica",99.7,100,44.9,1.184544707,26
"Chile","Sudamerica",100,100,43.85,3.713859177,26
"Chile","Sudamerica",100,100,45.16,0.942005307,26
"Chile","Sudamerica",100,100,43.69,-5.771501669,26
"Guyana","Sudamerica",74.51728,35.6,0.82,-1.363803903,4
"Guyana","Sudamerica",75.10074,37.7,0.85,2.279521659,4
"Guyana","Sudamerica",75.67661,39.9,0.85,1.132626962,4
"Guyana","Sudamerica",76.24725,42.4,0.77,-0.632225388,4
"Guyana","Sudamerica",76.81501,45,0.8,1.56335211,4
"Guyana","Sudamerica",77.5,47.6,0.6,-1.950957595,4
"Guyana","Sudamerica",73.38259,50.3,0.62,5.129609348,4
"Guyana","Sudamerica",78.524925,53,0.65,7.191236241,4
"Guyana","Sudamerica",79.10577,55.8,0.66,1.606001675,4
"Guyana","Sudamerica",77.6,58.5,0.61,3.876525381,4
"Guyana","Sudamerica",83.09163,61,0.73,3.778200183,4
"Guyana","Sudamerica",84.08454,63.7,0.77,5.339378131,4
"Guyana","Sudamerica",85.06648,66.2,0.81,5.383623469,4
"Guyana","Sudamerica",86.02649,68.6,0.85,3.653504768,4
"Guyana","Sudamerica",86.9,70.9,0.85,1.686027732,4
"Guyana","Sudamerica",88.00384,72.8,0.88,0.68752121,4
"Guyana","Sudamerica",89.17036,74.7,0.95,3.807918837,4
"Guyana","Sudamerica",90.295815,76.2,0.99,3.734374061,4
"Guyana","Sudamerica",91.19838,77.9,1,4.441013589,4
"Guyana","Sudamerica",91.91576,79.5,1.06,5.352627426,4
"Guyana","Sudamerica",92.54054,80.6,1.01,43.47955594,4
"Namibia","Africa del Norte",36.5,33.7,0.04,3.492183364,3
"Namibia","Africa del Norte",35.96686,34,0,1.177948695,3
"Namibia","Africa del Norte",36.925476,35,0,4.788661219,3
"Namibia","Africa del Norte",37.878853,35.9,0.01,4.239794296,3
"Namibia","Africa del Norte",38.82934,36.4,0,12.2695481,3
"Namibia","Africa del Norte",39.779297,37.3,0.04,2.529262658,3
"Namibia","Africa del Norte",40.731125,37.9,0.09,7.073175318,3
"Namibia","Africa del Norte",43.7,38.6,0.04,5.374044152,3
"Namibia","Africa del Norte",42.65105,39.5,0.17,2.649812038,3
"Namibia","Africa del Norte",44.1,40.1,0.08,0.295970914,3
"Namibia","Africa del Norte",44.610737,40.9,0.05,6.03924948,3
"Namibia","Africa del Norte",42.3,41.5,0.03,5.091338139,3
"Namibia","Africa del Norte",46.63186,42.2,0.03,5.06168207,3
"Namibia","Africa del Norte",47.4,43,0.06,5.614719623,3
